title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,avg_shot_length,num_shots,original_format_title,movie_list_webpage_url,genre,release_date,imdb_url
Raiders-The-Story-of-the-Greatest-Fan-Film-Ever-Made,3626,151.192708333,160.735142738,141.85152198151397,164.00447870778808,193.5534545243336,0.220397534014,686,Raiders!: The Story of the Greatest Fan Film Ever Made,http://www.movie-list.com/trailers/raiders,Documentary,TBA 2015,http://imdb.com/title/tt3551954/
Strange-Magic,3697,154.154,81.3856470234,76.14405628436008,85.26372284571742,75.23143236444777,0.419833333333,364,Strange Magic,http://www.movie-list.com/trailers/strangemagic,"Animation, Family, Fantasy ",23-Jan-15,http://imdb.com/title/tt4191054/
Tomorrowland,3183,132.715916667,117.893049749,113.17052382395464,120.87965123966187,115.00021842520512,1.28490104167,88,Tomorrowland,http://www.movie-list.com/trailers/tomorrowland,,22-May-15,http://imdb.com/title/tt1964418/
VHS-Viral,1703,70.9875833333,109.960229459,106.93140190904617,108.05681947892327,127.79895082843868,0.182866666667,385,V/H/S: Viral,http://www.movie-list.com/trailers/vhs3,"Horror, Thriller",21-Nov-14,http://imdb.com/title/tt3704538/
The-Rover,1788,74.5327916667,99.0699086507,86.0551994954578,107.5577056074223,89.57575728025412,0.759779639175,97,The Rover,http://www.movie-list.com/trailers/rover,"Drama, Thriller",13-Jun-14,http://imdb.com/title/tt2345737/
Cabin-Fever-Patient-Zero,2585,107.774333333,70.5557748814,62.50027525994151,75.42499917124078,66.6663867777103,0.475624626308,223,Cabin Fever: Patient Zero,http://www.movie-list.com/trailers/cabinfeverpatientzero,"Horror, Thriller",1-Aug-14,http://imdb.com/title/tt2102496/
The-Grand-Seduction,3463,144.39425,118.560066417,104.45920110110407,125.14941943257729,121.70615789933096,0.595858056708,241,The Grand Seduction,http://www.movie-list.com/trailers/grandseduction,"Drama, Comedy",30-May-14,http://imdb.com/title/tt2319580/
A-Field-in-England,3071,127.916666667,96.0913490246,94.0874743911932,95.94498399805424,102.18330984429893,1.27171985816,94,A Field in England,http://www.movie-list.com/trailers/fieldinengland,"Drama, History, Thriller",7-Feb-14,http://imdb.com/title/tt2375574/
Alan-Partridge,3014,125.667208333,92.8492964777,73.76641601857017,100.86109408815591,101.71098684230665,0.843246031746,147,Alan Partridge,http://www.movie-list.com/trailers/alanpartridge,Comedy,4-Apr-14,http://imdb.com/title/tt0469021/
1000-Times-Good-Night,2380,99.224125,122.153378664,116.14993632098107,122.46528081861481,136.3951127798005,0.367001126126,259,"1,000 Times Good Night",http://www.movie-list.com/trailers/1000timesgoodnight,Drama,24-Oct-14,http://imdb.com/title/tt2353767/
Walk-of-Shame,3554,148.189708333,103.187606029,94.02907226094578,105.73101100595326,114.19484973753421,0.41107450565,354,Walk of Shame,http://www.movie-list.com/trailers/walkofshame,"Comedy, Romance",2-May-14,http://imdb.com/title/tt2463288/
Childs-Pose,2785,111.36,65.2277610728,59.935888378263215,66.2011900012812,74.14759215567992,0.350914826498,317,Child's Pose,http://www.movie-list.com/trailers/childspose,Drama,19-Feb-14,http://imdb.com/title/tt2187115/
Dawn-of-the-Planet-of-the-Apes,2200,91.716625,57.0724789024,65.74144189178668,55.94716565954519,40.1875059547173,0.972859437751,83,Dawn of the Planet of the Apes,http://www.movie-list.com/trailers/dawnoftheplanetoftheapes,,11-Jul-14,http://imdb.com/title/tt2103281/
Hellion,2799,116.699916667,95.9365006318,78.48745905360173,100.71727669909109,117.15401489738704,0.547968055556,210,Hellion,http://www.movie-list.com/trailers/hellion,"Drama, Thriller",13-Jun-14,http://imdb.com/title/tt3186318/
Poltergeist,3499,145.89575,69.5928516087,55.09899834160616,74.63219815646127,81.70754988242076,0.370550128535,389,Poltergeist,http://www.movie-list.com/trailers/poltergeist,"Drama, Fantasy, Horror, Thriller",4-Jun-82,
Austenland,2977,124.124,148.34298697,120.77622679214332,158.8831486216763,166.47863632285694,1.59150219298,76,Austenland,http://www.movie-list.com/trailers/austenland,"Comedy, Romance",16-Aug-13,http://imdb.com/title/tt1985019/
Border,3637,151.5,90.1172612309,73.14346673229835,98.32724262480208,92.42620705138093,2.43644067797,59,Border,http://www.movie-list.com/trailers/border,Drama,TBA 2014,
Mr-Peabody-Sherman,3603,150.083333333,123.611074257,107.368736604941,126.54846389061514,151.1807945790917,0.499720357942,298,Mr. Peabody & Sherman,http://www.movie-list.com/trailers/mrpeabodyandsherman,"Animation, Adventure, Family",7-Mar-14,http://imdb.com/title/tt0864835/
Tak3n,3670,153.027875,82.0330563098,67.58647074915629,86.89484014486325,94.94902664771291,0.194717324871,709,Tak3n,http://www.movie-list.com/trailers/taken3,"Action, Crime, Adventure, Thriller",9-Jan-15,http://imdb.com/title/tt2446042/
Batman-1989,3232,107.7,98.8431212061,99.25861739929314,97.7189343101216,103.6290002231518,0.417741935484,248,Batman (1989),http://www.movie-list.com/trailers/batman,"Action, Crime, Fantasy, Thriller ",19-Jun-89,http://imdb.com/title/tt0096895/
Love-Is-All-You-Need,2629,109.6095,156.780471703,147.96836629313714,159.82003970286704,164.37161151094642,1.17710185185,90,Love Is All You Need,http://www.movie-list.com/trailers/loveisallyouneed,"Comedy, Romance ",3-May-13,http://imdb.com/title/tt1854236/
The-Happy-Poet,3037,126.6265,118.819507533,111.72508972032219,120.48559364044984,128.9459188471582,1.17396691176,102,The Happy Poet,http://www.movie-list.com/trailers/happypoet,"Comedy, Drama, Romance",22-Mar-13,http://www.imdb.com/title/tt1605765/
Miss-Meadows,2705,112.779333333,161.00480919,153.8209903519242,162.76540648418586,170.91597866088162,0.378314177852,298,Miss Meadows,http://www.movie-list.com/trailers/missmeadows,"Action, Thriller, Drama",14-Nov-14,http://imdb.com/title/tt3128900/
Into-the-Woods,2663,111.027583333,48.6631774434,47.24656080241417,50.19438071936517,44.535780152040985,0.592071927374,179,Into the Woods,http://www.movie-list.com/trailers/intothewoods,"Comedy, Family, Fantasy, Musical",25-Dec-14,http://imdb.com/title/tt2180411/
Stonehearst-Asylum-aka-Eliza-Graves,3386,141.182708333,53.2159407917,52.0976006591837,54.945349026290415,47.2898954057166,0.603501449275,230,Stonehearst Asylum (aka: Eliza Graves),http://www.movie-list.com/trailers/stonehearstasylum,"Horror, Thriller",24-Oct-14,
Around-the-Block,2936,122.413958333,89.1388786489,76.39153092591185,90.89222682339926,113.61151675289915,0.555289583333,220,Around the Block,http://www.movie-list.com/trailers/aroundtheblock,Drama,TBA 2014,http://imdb.com/title/tt1847541/
Black-Sea,3390,141.349541667,81.095900157,74.8419902059591,85.8599978229419,73.03342598550654,0.573142013889,240,Black Sea,http://www.movie-list.com/trailers/blacksea,"Action, Adventure, Thriller",23-Jan-15,http://imdb.com/title/tt2261331/
